the_geom,physicalid,l_low_hn,l_high_hn,r_low_hn,r_high_hn,l_zip,r_zip,status,bike_lane,trafdir,rw_type,pre_type,post_type,objectid,fcc,left_side_block_face_id,right_side_block_face_id,average_travel_time,roadway_jurisdiction,nominaldir,accessible,nonped,borough_code,borough_indicator,segloc_status,san_district_inc,left_side_subset,right_side_subset,continuous_parity_flag,twisted_parity_flag,posted_speed,segment_length,street_width,street_width_irr,special_disaster,fire_lane,created_date,modified_date,within_bndy_dist,truck_route_type,collection_method,from_level_code,to_level_code,b5sc,snow_priority,joinid,bphys_id,cartography_display_level,number_travel_lanes,number_park_lanes,number_total_lane,pre_modifier,pre_directional,post_directional,post_modifier,full_street_name,bike_traffic_direction,shape__length,globalid,segment_type,segment_type_value,street_name,street_name_label,geometry
"MULTILINESTRING ((-74.006135868486 40.719454038, -74.005940957621 40.719702246954))",558.0,234,238,231,239,10013.0,10013.0,2,1.0,TF,1,,,436.0,,1.222.601.420,1.222.605.795,,,,,,1,,,,3B,3B,,N,25.0,"105,3410147",50.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,144890,C,,,,2.0,2.0,4.0,,W,,,W  BROADWAY,TF,"42,42432400245",3796d3aa-a419-4543-80cd-65cf73019c59,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.006136 40.719454, -74.005941 40.719702))"
"MULTILINESTRING ((-74.008419671615 40.709538624254, -74.007745967054 40.710229012561))",79.652,71,91,72,92,10038.0,10038.0,2,,FT,1,,ST,72.092,,212.260.772,212.262.056,,,,,,1,,,,1B,1B,,N,25.0,"313,29343229",18.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:44:12 AM,,,,13,13,127100,H,,,,1.0,1.0,2.0,,,,,NASSAU ST,,"126,11035592973",77533509-f2f3-49b0-b47e-fa9fa60456d8,,,NASSAU,NASSAU ST,"MULTILINESTRING ((-74.00842 40.709539, -74.007746 40.710229))"
"MULTILINESTRING ((-74.005940957621 40.719702246954, -74.005656222562 40.720065229471))",559.0,240,256,241,259,10013.0,10013.0,2,1.0,TF,1,,,437.0,,1.222.604.097,1.222.605.795,,,,,,1,,,,3B,3B,,N,25.0,"154,00838946",50.0,,,,2007 Nov 29 12:00:00 AM,2025 Oct 28 01:25:31 PM,,,,13,13,144890,C,,,,2.0,2.0,4.0,,W,,,W  BROADWAY,TF,"62,02454122202",bde59e64-5177-4021-b2b5-7ed6c6b5c4fd,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.005941 40.719702, -74.005656 40.720065))"
"MULTILINESTRING ((-73.992268771145 40.712475797606, -73.992254989852 40.712362566015, -73.99224449027 40.712276294595, -73.992219856301 40.712073894674, -73.992207074841 40.711968875313, -73.992173720698 40.711784322944))",16.602,37,59,0,0,10002.0,10002.0,2,1.0,TF,1,,ST,14.801,,212.261.150,212.260.623,,,,,,1,,X,,1B,1B,,N,25.0,"67,8080668",30.0,,,,2009 Jun 16 12:00:00 AM,2025 Oct 28 01:25:31 PM,,2.0,,13,13,128790,C,,,,3.0,1.0,4.0,,,,,PIKE ST,TF,"102,11938596416",e9f567e1-08c3-45ce-9a47-795a3c16af47,,,PIKE,PIKE ST,"MULTILINESTRING ((-73.992269 40.712476, -73.992255 40.712363, -73.992244 40.712276, -73.99222 40.712074, -73.992207 40.711969, -73.992174 40.711784))"
"MULTILINESTRING ((-73.994841785978 40.714217591989, -73.99472609171 40.714223952942))",130.173,,,,,10002.0,10002.0,2,,TF,1,,ST,101.692,,212.261.516,212.262.260,,,,,,1,,X,,1A,1A,,N,25.0,"51,04151302",30.0,,,,2007 Nov 29 12:00:00 AM,2022 May 17 04:59:11 PM,,2.0,,13,13,116410,C,,,,2.0,0.0,2.0,,,,,DIVISION ST,,"12,91286427956",ba3f4723-6d9c-4db8-b7dd-a1cb1f9d4e7a,,,DIVISION,DIVISION ST,"MULTILINESTRING ((-73.994842 40.714218, -73.994726 40.714224))"
"MULTILINESTRING ((-74.000084665463 40.707686571909, -74.000041283587 40.707767700621, -74.000018350331 40.707829194802))",68.228,,,,,10038.0,10038.0,2,,FT,3,,,61.978,,212.260.018,212.260.038,,,,,V,1,,,,,,,N,,"37,78843638",20.0,,,,2007 Nov 29 12:00:00 AM,2022 Nov 22 01:39:21 PM,,,,21,21,110545,C,,,,1.0,0.0,1.0,,,,,FDR DRIVE EXIT 2 NB,,"22,23973362748",ff9f6996-de74-42d5-a573-293621c7142d,,,FDR DRIVE EXIT 2 NB,FDR DRIVE EXIT 2 NB,"MULTILINESTRING ((-74.000085 40.707687, -74.000041 40.707768, -74.000018 40.707829))"
"MULTILINESTRING ((-74.009240376263 40.715528408001, -74.010968439623 40.71631124063))",79.669,136,168,137,169,10007.0,10007.0,2,,TW,1,,ST,72.108,,212.260.243,1.222.604.759,,,,,,1,,,,1A,1A,,N,25.0,"557,51968074",34.0,,,,2007 Nov 29 12:00:00 AM,2018 Apr 26 03:35:33 PM,,,,13,13,114710,C,,,20.0,1.0,1.0,2.0,,,,,CHAMBERS ST,,"224,10716568827",f95f66fb-d8e1-475b-9bbf-4f04521300c4,,,CHAMBERS,CHAMBERS ST,"MULTILINESTRING ((-74.00924 40.715528, -74.010968 40.716311))"
"MULTILINESTRING ((-74.009636291949 40.71734078725, -74.009992859022 40.717385593073))",1.092,0,0,171,175,10013.0,10013.0,2,,TF,1,,ST,894.0,,1.222.602.553,1.222.603.480,,,,,,1,,,,3A,3A,,N,25.0,"100,18233701",32.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:41:06 AM,,,,13,13,116850,S,,,,1.0,2.0,3.0,,,,,DUANE ST,,"40,23467754096",d7900336-ec9d-41f6-81f9-a321ab48dedc,,,DUANE,DUANE ST,"MULTILINESTRING ((-74.009636 40.717341, -74.009993 40.717386))"
"MULTILINESTRING ((-74.007745967054 40.710229012561, -74.009063949461 40.710894942857))",770.0,126,158,135,167,10038.0,10038.0,2,,FT,1,,ST,626.0,,212.260.771,212.260.362,,,,,,1,,X,,1B,1B,,N,25.0,"438,60694821",28.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:58:06 AM,,,,13,13,121230,C,,,,1.0,2.0,3.0,,,,,FULTON ST,,"176,32369211556",90e428e3-d7e2-42ec-ad21-6f0f1f85c4a9,,,FULTON,FULTON ST,"MULTILINESTRING ((-74.007746 40.710229, -74.009064 40.710895))"
"MULTILINESTRING ((-73.990513297515 40.707070138628, -73.990390501779 40.707097572236))",178.187,,,,,,,2,,NV,14,,RTE,113.651,,,,,,,,,1,,,,,,,N,,"36,61599895",,,,,2017 Jan 05 04:28:06 PM,2017 Feb 13 05:50:37 PM,,,,13,13,100857,,,,,,,,,,,,HIGHLANDS-MARTHAS VYD FERRY RTE,,"14,25084060056",2efc9afc-c3a9-491b-b163-b59c661f3b36,,,HIGHLANDS-MARTHAS VYD FERRY,HIGHLANDS-MARTHAS VYD FERRY RTE,"MULTILINESTRING ((-73.990513 40.70707, -73.990391 40.707098))"
"MULTILINESTRING ((-73.999558102928 40.713933460745, -73.999452838464 40.713884057261, -73.998631564462 40.713515002424))",166.808,191,207,186,198,10013.0,10007.0,2,,TW,1,,ST,108.804,,212.260.261,212.260.122,,,,,,1,,,,1A,1A,,N,25.0,"332,64942689",34.0,,,,2007 Nov 29 12:00:00 AM,2022 Nov 18 02:40:53 PM,,2.0,,13,13,145490,H,,,,4.0,0.0,4.0,,,,,WORTH ST,,"120,06521158763",92f1861a-63cf-4f73-b250-1c5537f47cab,,,WORTH,WORTH ST,"MULTILINESTRING ((-73.999558 40.713933, -73.999453 40.713884, -73.998632 40.713515))"
"MULTILINESTRING ((-74.014777726748 40.71638768215, -74.014901332816 40.716444191304))",142.283,,,,,10282.0,10282.0,2,,NV,6,,PL,103.733,,,,,,,,,1,,,,1A,1A,,N,,"39,9746005",,,,,2007 Nov 29 12:00:00 AM,2015 Dec 07 12:00:00 AM,,,,13,13,127885,,,,,,,,,,W,,PARK PL W,,"16,06899175263",740c4751-e0c7-4227-b66a-8265d7b98e91,,,PARK,PARK PL W,"MULTILINESTRING ((-74.014778 40.716388, -74.014901 40.716444))"
"MULTILINESTRING ((-74.005656222562 40.720065229471, -74.005187462822 40.719845707637))",936.0,2,12,1,13,10013.0,10013.0,2,,FT,1,,ST,758.0,,1.222.604.338,1.222.601.655,,,,,,1,,,,3B,3B,,N,25.0,"152,5802822",34.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:25:30 PM,,3.0,,13,13,132900,C,,,,1.0,2.0,3.0,,,,,WALKER ST,,"61,33979165905",032b5ebb-c03e-4504-b7c6-a1a51496bc4d,,,WALKER,WALKER ST,"MULTILINESTRING ((-74.005656 40.720065, -74.005187 40.719846))"
"MULTILINESTRING ((-74.006768669427 40.71151030323, -74.006480515487 40.711238302163))",724.0,8,8,3,9,10038.0,10038.0,2,,TF,1,,ST,586.0,,212.261.266,212.261.105,,,,,,1,,,,1B,1B,,N,25.0,"127,28778976",25.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 04:05:03 PM,,,,13,13,113015,H,,,,1.0,1.0,2.0,,,,,BEEKMAN ST,,"51,23085920317",ad97f2b4-8152-4970-b2be-deb68671e914,,,BEEKMAN,BEEKMAN ST,"MULTILINESTRING ((-74.006769 40.71151, -74.006481 40.711238))"
"MULTILINESTRING ((-74.003492232534 40.701845347313, -74.00305492145 40.701912763311, -74.002621464288 40.701993316744, -74.002192542096 40.702086881), (-74.002192542096 40.702086881, -74.001768828139 40.702193306993, -74.001350988707 40.702312429492, -74.00093968031 40.702444061262), (-74.00093968031 40.702444061262, -74.000797089198 40.702474129156, -74.00065750959 40.702511495677, -74.000521585673 40.702555988359), (-74.000521585673 40.702555988359, -74.000389944756 40.702607401578, -74.000263194368 40.702665498296, -74.000141919485 40.702730010369))",179.253,,,,,,,2,,NV,14,,RTE,114.154,,,,,,,,,1,,,,,,,N,,"246,20256425",,,,,2017 Mar 03 04:31:43 PM,2017 Mar 06 12:14:14 PM,,,,13,13,100892,,,,,,,,,,,,HIGHLANDS-MIDTOWN EAST FERRY RTE,,"397,02545377158",abe93d56-2765-4ee5-b6c0-bb03fc419ca0,,,HIGHLANDS-MIDTOWN EAST FERRY,HIGHLANDS-MIDTOWN EAST FERRY RTE,"MULTILINESTRING ((-74.003492 40.701845, -74.003055 40.701913, -74.002621 40.701993, -74.002193 40.702087), (-74.002193 40.702087, -74.001769 40.702193, -74.001351 40.702312, -74.00094 40.702444), (-74.00094 40.702444, -74.000797 40.702474, -74.000658 40.702511, -74.000522 40.702556), (-74.000522 40.702556, -74.00039 40.702607, -74.000263 40.702665, -74.000142 40.70273))"
"MULTILINESTRING ((-74.013725454358 40.713686548789, -74.013440278462 40.714438658252))",259.0,139,147,140,146,10007.0,10007.0,2,,FT,2,,ST,126.966,,212.260.499,212.260.912,,,,,,1,,,,1A,1A,2.0,N,30.0,"291,94200962",55.0,,,,2007 Nov 29 12:00:00 AM,2020 Jan 09 10:13:59 AM,,3.0,,13,13,111115,C,,,30.0,4.0,1.0,5.0,,,,,WEST ST,,"114,9295021715",9cc74d78-4e7c-4749-925a-7fba960c310e,,,WEST,WEST ST,"MULTILINESTRING ((-74.013725 40.713687, -74.01344 40.714439))"
"MULTILINESTRING ((-74.015658869725 40.704841325373, -74.015657124895 40.704890871939, -74.015655228083 40.704944739386))",173.048,,,,,10004.0,10004.0,2,,TF,1,,ST,111.521,,,,,,,,,1,,X,,1A,1A,,N,25.0,"98,83140976",44.0,,,,2007 Nov 29 12:00:00 AM,2017 Jul 18 04:05:04 PM,,,,13,13,133390,V,,,,2.0,0.0,2.0,,,,,WASHINGTON ST,,"15,19116329571",65624dff-512c-4b65-9e88-cb6c752955f6,,,WASHINGTON,WASHINGTON ST,"MULTILINESTRING ((-74.015659 40.704841, -74.015657 40.704891, -74.015655 40.704945))"
"MULTILINESTRING ((-74.004681164681 40.705136484465, -74.004661172359 40.705103483765, -74.004633019235 40.705065640683))",176.577,,,,,10038.0,10038.0,2,,NV,6,,,112.913,,,,,,,,,1,,,,,,,N,,"15,8300004",,,,,2016 Oct 06 01:58:23 PM,2022 May 02 04:20:19 PM,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,"11,71246239547",8e4897a6-1290-4bc0-b9d8-ad9fb709b783,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,"MULTILINESTRING ((-74.004681 40.705136, -74.004661 40.705103, -74.004633 40.705066))"
"MULTILINESTRING ((-74.003109682907 40.707679649867, -74.00205240924 40.708205691779))",114.39,228,258,223,251,10038.0,10038.0,2,,FT,1,,ST,99.262,,212.261.551,212.260.379,,,,,,1,,,,1B,1B,,N,25.0,"386,84176447",28.0,,,,2007 Nov 29 12:00:00 AM,2017 Mar 17 09:46:34 AM,,,,13,13,133490,H,,,,1.0,2.0,3.0,,,,,WATER ST,,"140,78238094091",f2d8075f-a9a1-43eb-8b42-d2e40e581dad,,,WATER,WATER ST,"MULTILINESTRING ((-74.00311 40.70768, -74.002052 40.708206))"
"MULTILINESTRING ((-74.001283884985 40.71000229229, -74.001236065275 40.710063572369))",106.0,,,,,10038.0,10038.0,2,,TW,1,,ST,73.0,,212.262.172,212.262.246,,,,,,1,,X,,,,,N,25.0,"25,9658748",54.0,,,,2007 Nov 29 12:00:00 AM,2019 Apr 15 03:19:57 PM,,2.0,,13,13,128490,H,,,,4.0,0.0,4.0,,,,,PEARL ST,,"10,45585732612",b6f85d66-4d46-40c4-8782-9310897fd72b,,,PEARL,PEARL ST,"MULTILINESTRING ((-74.001284 40.710002, -74.001236 40.710064))"
"MULTILINESTRING ((-73.996273263974 40.705548226046, -73.996213348983 40.705591829064))",178.177,,,,,,,2,,NV,14,,RTE,113.646,,,,,,,,,1,,,,,,,N,,"23,73562777",,,,,2017 Jan 05 04:10:46 PM,2017 Feb 13 05:50:53 PM,,,,13,13,100857,,,,,,,,,,,,HIGHLANDS-MARTHAS VYD FERRY RTE,,"9,24566584389",22b2eb74-66ee-44b3-af37-6df402af5c9d,,,HIGHLANDS-MARTHAS VYD FERRY,HIGHLANDS-MARTHAS VYD FERRY RTE,"MULTILINESTRING ((-73.996273 40.705548, -73.996213 40.705592))"
"MULTILINESTRING ((-74.010561847621 40.713854515092, -74.010280849174 40.714203127973, -74.010129409007 40.714391006138))",145.506,36,56,41,59,10007.0,10007.0,2,1.0,TF,1,,,104.261,,212.261.416,212.261.386,,,,,,1,,,,1A,1A,,N,25.0,"229,29494943",46.0,,,,2007 Nov 29 12:00:00 AM,2024 Sep 23 02:48:37 PM,,,,13,13,144890,C,,,,2.0,2.0,4.0,,W,,,W  BROADWAY,TF,"92,33339728193",e5f0d863-01b6-494d-99ab-7f5880795832,,,BROADWAY,W BROADWAY,"MULTILINESTRING ((-74.010562 40.713855, -74.010281 40.714203, -74.010129 40.714391))"
"MULTILINESTRING ((-74.008833262921 40.71380418721, -74.008388210315 40.714370533528))",148.0,126,138,121,139,10007.0,10007.0,2,1.0,FT,1,,ST,110.0,,212.260.804,212.261.728,,,,,,1,,,,1A,1A,,N,25.0,"240,41066126",60.0,,,,2007 Nov 29 12:00:00 AM,2023 Sep 26 09:48:14 AM,,2.0,,13,13,115350,C,,,,3.0,2.0,5.0,,,,,CHURCH ST,FT,"96,81316783018",89b85ffb-a4a6-4de8-964a-fa5d29b367cd,,,CHURCH,CHURCH ST,"MULTILINESTRING ((-74.008833 40.713804, -74.008388 40.714371))"
"MULTILINESTRING ((-74.007053264605 40.718277279945, -74.005778598853 40.717684887336))",79.864,35,63,40,64,10013.0,10013.0,2,,TF,1,,ST,72.269,,1.222.602.843,1.222.605.223,,,,,,1,,,,3B,3B,,N,25.0,"414,04581771",30.0,,,,2007 Nov 29 12:00:00 AM,2025 Nov 12 11:18:33 AM,,,,13,13,124750,C,,,,1.0,2.0,3.0,,,,,LEONARD ST,,"166,44630076548",64baed73-3d2b-4ab3-aee6-4c6e4c328373,,,LEONARD,LEONARD ST,"MULTILINESTRING ((-74.007053 40.718277, -74.005779 40.717685))"
"MULTILINESTRING ((-74.012960453335 40.717438436375, -74.012595839801 40.718918474623, -74.012555992116 40.719078103259))",297.0,201,205,0,0,10282.0,10282.0,2,,TF,2,,ST,129.449,,1.222.600.265,1.222.606.830,,,,,,1,,,,3B,3B,,N,30.0,"548,6138681",66.0,,,,2007 Nov 29 12:00:00 AM,2020 Jan 09 10:13:22 AM,,3.0,,13,13,111115,C,,,30.0,6.0,0.0,6.0,,,,,WEST ST,,"244,99678037579",6b87a309-6055-4320-9f07-831bcf2aa882,,,WEST,WEST ST,"MULTILINESTRING ((-74.01296 40.717438, -74.012596 40.718918, -74.012556 40.719078))"
"MULTILINESTRING ((-73.997118487219 40.712807976464, -73.996948601589 40.712079926704))",91.632,25,41,26,48,10038.0,10038.0,2,3.0,FT,1,,ST,82.836,,212.261.223,212.261.456,,,,,,1,,X,,1A,1A,,N,25.0,"269,39928179",20.0,,,,2007 Nov 29 12:00:00 AM,2020 Apr 14 12:52:57 PM,,,,13,13,114310,C,,,,1.0,1.0,2.0,,,,,CATHERINE ST,FT,"108,58163576476",38a71b08-4ed4-4cde-a223-d6d8a63b0527,,,CATHERINE,CATHERINE ST,"MULTILINESTRING ((-73.997118 40.712808, -73.996949 40.71208))"
"MULTILINESTRING ((-74.003276580756 40.705832608717, -74.002033312726 40.704701191475))",178.793,,,,,10038.0,10038.0,2,,NV,6,,,113.914,,,,,,,,,1,,,,,,,N,,"537,55720726",,,,,2017 Feb 21 03:39:40 PM,2022 May 02 04:20:19 PM,,,,13,13,100771,,,,,,,,,,,,PEDESTRIAN AND BIKE PATH LINK,,"216,23612824964",b160e3c2-46b1-4534-ba9f-1ec4dcb18d01,,,PEDESTRIAN AND BIKE PATH LINK,PEDESTRIAN AND BIKE PATH LINK,"MULTILINESTRING ((-74.003277 40.705833, -74.002033 40.704701))"
"MULTILINESTRING ((-74.016939165599 40.704822224373, -74.016866588071 40.705006174339, -74.016811756853 40.705145145477))",129.611,,,,,10004.0,10004.0,2,,TF,2,,ST,129.989,,1.222.600.930,1.222.607.179,,,,,,1,,,,1A,1A,,N,30.0,"136,29294895",22.0,,,,2007 Nov 29 12:00:00 AM,2020 Jan 09 10:13:22 AM,,2.0,,13,13,111115,C,,,,2.0,0.0,2.0,,,,,WEST ST,,"49,49482355928",6d4c315d-6b32-4dc0-a094-2541b11b7fa3,,,WEST,WEST ST,"MULTILINESTRING ((-74.016939 40.704822, -74.016867 40.705006, -74.016812 40.705145))"
"MULTILINESTRING ((-74.014544267249 40.717112656947, -74.015157485973 40.717396309261, -74.015770711167 40.717679656917))",30.809,210,212,0,0,10282.0,10282.0,2,,TW,1,,ST,27.839,,1.222.602.598,1.222.606.390,,,,,,1,,,,1A,1A,,N,25.0,"198,8831079",36.0,,,,2007 Nov 29 12:00:00 AM,2023 Mar 31 08:56:05 AM,,,,13,13,132940,C,,,,2.0,2.0,4.0,,,,,WARREN ST,,"159,92060407612",216fe51b-ae8d-464c-ac09-0065540fd9d1,,,WARREN,WARREN ST,"MULTILINESTRING ((-74.014544 40.717113, -74.015157 40.717396, -74.015771 40.71768))"
"MULTILINESTRING ((-74.008748586331 40.719037176162, -74.00711105139 40.718303182577, -74.007053264605 40.718277279945))",148.472,1,33,2,38,10013.0,10013.0,2,,TF,1,,ST,105.019,,1.222.602.723,1.222.601.960,,,,,,1,,,,3B,3B,,N,25.0,"545,43512345",22.0,,,,2007 Nov 29 12:00:00 AM,2025 Nov 12 11:18:33 AM,,,,13,13,124750,C,,,,1.0,2.0,3.0,,,,,LEONARD ST,,"219,2550968048",c68a16b6-1b36-403e-8082-0a53d4fd57a9,,,LEONARD,LEONARD ST,"MULTILINESTRING ((-74.008749 40.719037, -74.007111 40.718303, -74.007053 40.718277))"
"MULTILINESTRING ((-74.012247128507 40.701243700149, -74.011638872739 40.701382329084, -74.01113714008 40.701504542117, -74.011075745668 40.70148922466, -74.010229396009 40.701694813535, -74.009175273255 40.701994835137, -74.007717681121 40.702879626257, -74.007673023795 40.702959838928, -74.007637879896 40.703012606139, -74.007599030803 40.703075897475, -74.00757031117 40.703112015554))",135.384,,,,,10004.0,10004.0,2,1.0,NV,6,,ESPL,102.866,,,,,,,,D,1,,,,1B,1B,,N,,,,,,,2011 May 17 03:25:30 PM,2025 Nov 19 12:40:56 PM,,,,13,13,112560,,,,,,,,,E,,,E  RIVER ESPL,TW,"606,61083622901",c67a556d-0cf3-43be-9f20-8c9756ab4be5,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-74.012247 40.701244, -74.011639 40.701382, -74.011137 40.701505, -74.011076 40.701489, -74.010229 40.701695, -74.009175 40.701995, -74.007718 40.70288, -74.007673 40.70296, -74.007638 40.703013, -74.007599 40.703076, -74.00757 40.703112))"
"MULTILINESTRING ((-74.006223893093 40.703953562935, -74.006102710337 40.70403105963))",134.108,,,,,10004.0,10004.0,2,1.0,NV,6,,ESPL,102.713,,0,0,,,,,D,1,,,,1B,1B,,N,,,0.0,,,,2011 Jun 17 03:12:40 PM,2025 Nov 19 12:40:57 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"17,64879036676",d40946e5-716b-4c36-ba1d-cd427d097d63,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-74.006224 40.703954, -74.006103 40.704031))"
"MULTILINESTRING ((-74.012351194358 40.701218781913, -74.012247128507 40.701243700149))",145.851,,,,,10004.0,10004.0,2,1.0,NV,6,,ESPL,104.357,,,,,,,,D,1,,,,1B,1B,,N,,,,,,,2011 May 18 11:14:56 AM,2025 Nov 19 12:40:56 PM,,,,13,13,112560,,,,,,,,,E,,,E  RIVER ESPL,TW,"12,14864234198",015b0cec-61c6-4949-bc5a-0f61ad02c44e,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-74.012351 40.701219, -74.012247 40.701244))"
"MULTILINESTRING ((-74.004750062691 40.70523945975, -74.004439836037 40.705437476679))",79.698,77,79,76,76,10038.0,10005.0,2,,TW,1,,ST,72.136,,212.261.884,212.260.090,,,,,,1,,,,1B,1B,1.0,N,25.0,"112,26275074",32.0,,,,2007 Nov 29 12:00:00 AM,2024 Oct 18 09:39:32 AM,,2.0,,13,13,130640,C,,,,2.0,1.0,3.0,,,,,SOUTH ST,,"45,14572986626",4720cb87-fd6f-4c3d-8fda-6f5326dbd849,,,SOUTH,SOUTH ST,"MULTILINESTRING ((-74.00475 40.705239, -74.00444 40.705437))"
"MULTILINESTRING ((-73.999288609413 40.708024842164, -73.999224932159 40.708061291128))",149.783,,,,,10002.0,10002.0,2,1.0,NV,6,,ESPL,105.287,,0,0,,,,,D,1,,,,,,,N,,"22,09117185",0.0,,,,2012 Jul 26 12:18:48 PM,2025 Nov 19 12:40:57 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"8,88240718524",92396547-e3b2-491e-8f67-fce05d1a65b0,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-73.999289 40.708025, -73.999225 40.708061))"
"MULTILINESTRING ((-74.006102710337 40.70403105963, -74.005932934416 40.704137446934, -74.005894508145 40.704146176573))",131.643,,,,,10004.0,10004.0,2,1.0,NV,6,,ESPL,102.025,,0,0,,,,,D,1,,,,1B,1B,,N,,,0.0,,,,2011 May 17 03:38:57 PM,2025 Nov 19 12:40:56 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"28,98570216429",70dd6250-b9e4-46d7-abc9-f3395c332f71,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-74.006103 40.704031, -74.005933 40.704137, -74.005895 40.704146))"
"MULTILINESTRING ((-74.004052860626 40.705207357228, -74.004057964005 40.705155601709))",191.652,,,,,,,2,,TW,1,,ESPL,118.874,,,,,,,,,1,,I,,,,,N,,"18,90909831",,,,,2021 Apr 20 03:36:49 PM,2025 Nov 19 12:40:57 PM,,,,13,13,112560,V,,,,,,,,E,,,E  RIVER ESPL,,"7,6212368344",1dcfdbea-d5f6-4fcf-b15e-167de8ab80c9,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-74.004053 40.705207, -74.004058 40.705156))"
"MULTILINESTRING ((-73.991781325322 40.709584908781, -73.991714877193 40.709596126825))",134.193,,,,,10002.0,10002.0,2,1.0,NV,6,,ESPL,102.731,,0,0,,,,,D,1,,,,,,,N,,,0.0,,,,2011 Jun 17 07:31:50 PM,2025 Nov 19 12:40:57 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"7,57820490271",370ce93f-f5f7-4504-a451-302da0ef91f6,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-73.991781 40.709585, -73.991715 40.709596))"
"MULTILINESTRING ((-73.999900619835 40.707691205031, -73.999852698887 40.70771428519, -73.999456947949 40.707928264709, -73.999354249881 40.707986981257))",131.664,,,,,10038.0,10038.0,2,1.0,NV,6,,ESPL,102.034,,0,0,,,,,D,1,,,,1B,1B,,N,,,0.0,,,,2011 May 17 04:08:15 PM,2025 Nov 19 12:40:56 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"74,75277808012",42bc5249-107c-40e8-8c1e-7a95045e78cb,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-73.999901 40.707691, -73.999853 40.707714, -73.999457 40.707928, -73.999354 40.707987))"
"MULTILINESTRING ((-73.997505751313 40.714077372114, -73.997574135929 40.714086252838))",140.863,,,,,10013.0,10013.0,2,,TW,1,,ST,103.548,,,,,,,,,1,,,,1A,1A,,N,25.0,"158,0336734",36.0,,,,2007 Nov 29 12:00:00 AM,2021 Oct 14 10:57:12 AM,,,,13,13,116750,C,,,,2.0,0.0,2.0,,,,,DOYERS ST,,"7,72346275954",14985cf8-b55b-4c95-bc80-711b15505113,,,DOYERS,DOYERS ST,"MULTILINESTRING ((-73.997506 40.714077, -73.997574 40.714086))"
"MULTILINESTRING ((-73.999224932159 40.708061291128, -73.999119158182 40.708106525199, -73.99891528504 40.708195729968, -73.998598738549 40.708351562103))",131.823,,,,,10002.0,10002.0,2,1.0,NV,6,,ESPL,102.106,,0,0,,,,,D,1,,,,,,,N,,,0.0,,,,2011 May 18 10:54:21 AM,2025 Nov 19 12:40:56 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"81,7401604623",8e9647cd-e614-4ad5-bd73-61b6f9e6156d,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-73.999225 40.708061, -73.999119 40.708107, -73.998915 40.708196, -73.998599 40.708352))"
"MULTILINESTRING ((-73.996029144512 40.708978679051, -73.995735397005 40.709016215561, -73.995442314297 40.70905665016, -73.995149945751 40.709099976034), (-73.995149945751 40.709099976034, -73.994858340561 40.709146184858, -73.994567547869 40.709195269866, -73.994277616654 40.709247222784), (-73.994277616654 40.709247222784, -73.993967544717 40.709265613996))",134.176,,,,,10002.0,10002.0,2,1.0,NV,6,,ESPL,102.716,,0,0,,,,,D,1,,,,,,,N,,,0.0,,,,2011 May 17 03:10:07 PM,2025 Nov 19 12:40:57 PM,,,,13,13,112560,,,,,0.0,0.0,0.0,,E,,,E  RIVER ESPL,TW,"233,59922360168",ecb7cd4e-aeda-4342-a1dc-bb813e83fadc,,,RIVER,E RIVER ESPL,"MULTILINESTRING ((-73.996029 40.708979, -73.995735 40.709016, -73.995442 40.709057, -73.99515 40.7091), (-73.99515 40.7091, -73.994858 40.709146, -73.994568 40.709195, -73.994278 40.709247), (-73.994278 40.709247, -73.993968 40.709266))"
