the_geom,name,bin,doitt_id,shape_area,base_bbl,objectid,construction_year,feature_code,geometry_source,ground_elevation,height_roof,last_edited_date,last_status_type,map_pluto_bbl,length,geometry
"MULTIPOLYGON (((-74.01645756138 40.711608668468, -74.016493272757 40.711514650016, -74.016586609582 40.711535177258, -74.016590382224 40.711525244078, -74.016680836119 40.7115451377, -74.016703264917 40.711486085244, -74.016794885711 40.711506235251, -74.016808546339 40.711470267751, -74.017235378377 40.711564138724, -74.017271194328 40.711572015527, -74.017454411697 40.711612309166, -74.017390082403 40.71178167799, -74.017083351812 40.711714220726, -74.016768175279 40.711644905221, -74.016745562352 40.71163993229, -74.016734318976 40.71166953552, -74.01645756138 40.711608668468)))",,1083376,713857,"2.524,96875",1000160100,168.275,1.983,2.1,Photogrammetric,15.0,"67,43",2017 Aug 22 06:39:15 PM,constructed,1000160100,"274,38650143867",POINT (-74.016992 40.711615)
"MULTIPOLYGON (((-73.996288704357 40.718194479561, -73.996286788837 40.718183140276, -73.996255755842 40.71817238628, -73.996260121146 40.71816509229, -73.996226594496 40.718153473716, -73.996222228006 40.718160768605, -73.996189851742 40.718149548984, -73.996176213478 40.718155498202, -73.996108457221 40.718132018734, -73.996143917105 40.718072777166, -73.996146531793 40.718068408879, -73.996214962603 40.71809212248, -73.996218781365 40.718101219559, -73.99625115761 40.718112439172, -73.996248164159 40.718117440508, -73.996281690795 40.718129058175, -73.996284684244 40.718124056839, -73.99631571722 40.718134810827, -73.996326197686 40.718130668815, -73.996398511743 40.718155726892, -73.99636427475 40.718212926219, -73.996360437362 40.718219336829, -73.996288704357 40.718194479561)))",,1079594,297306,"276,765625",1002380027,231.026,1.9,2.1,Photogrammetric,36.0,"62,08",2017 Aug 22 06:38:03 PM,constructed,1002380027,"88,66474465145",POINT (-73.996254 40.718143)
"MULTIPOLYGON (((-74.009044903336 40.705759719981, -74.009123873238 40.705629395309, -74.009273422798 40.705677520203, -74.009766660022 40.705836242294, -74.009782606021 40.705841373856, -74.009697065127 40.705980849628, -74.009614746497 40.706115072381, -74.009549603078 40.706221289541, -74.009519315766 40.706270673401, -74.009503104253 40.706262972666, -74.009471488322 40.70624795384, -74.009312495293 40.706172426504, -74.008912983585 40.705982641111, -74.008910531584 40.705981476038, -74.008930864862 40.7059479196, -74.008975569138 40.705874143512, -74.009044903336 40.705759719981)))",,1000827,662269,"5.023,78515625",1000270001,1.080.499,1.842,2.1,Other (Manual),22.0,160,2020 Jan 28 05:17:35 PM,constructed,1000277501,"286,05650409843",POINT (-74.009345 40.705935)
"MULTIPOLYGON (((-74.008239166738 40.719166267461, -74.008276659275 40.71909803583, -74.008284663743 40.719070105936, -74.008325372981 40.719076859525, -74.008331217196 40.719056466152, -74.008279825476 40.7190328801, -74.008238067288 40.719013716642, -74.008310197143 40.718922732928, -74.008323214605 40.718928707772, -74.008574103618 40.719043849279, -74.008549469618 40.719195454673, -74.008239166738 40.719166267461)))",Franklin - Hudson Building,1002012,522379,"981,50390625",1001790056,1.027.792,1.91,2.1,Photogrammetric,14.0,"141,66",2020 Jan 28 05:21:11 PM,constructed,1001790056,"142,05733850083",POINT (-74.008406 40.719077)
"MULTIPOLYGON (((-74.000788690734 40.708648530759, -74.000878224005 40.708607303803, -74.000943276187 40.708689112934, -74.000863530496 40.708728687428, -74.00085217138 40.708734324714, -74.000842442712 40.70872117552, -74.000826965131 40.708700258558, -74.000788690734 40.708648530759)))",,1082487,345550,"169,13671875",1001070051,448.874,1.92,2.1,Photogrammetric,9.0,"35,84",2017 Aug 22 05:45:54 PM,constructed,1001070051,"52,25646188203",POINT (-74.000866 40.70867)
"MULTIPOLYGON (((-73.999466174991 40.714705977279, -73.999546137878 40.714705104125, -73.999556193133 40.714819700432, -73.999506547322 40.714820242338, -73.999473493902 40.714820602397, -73.999473206437 40.714805306324, -73.999459710117 40.714794821617, -73.999445810148 40.714794973738, -73.99944595092 40.714802405652, -73.999393205587 40.714802980813, -73.99929437436 40.714804059964, -73.999292908851 40.714726276558, -73.999353862731 40.714725612338, -73.999441359667 40.714724657352, -73.999441489792 40.714731545358, -73.999458289272 40.714731361733, -73.999460883482 40.714728231571, -73.99946646837 40.714721493077, -73.999466174991 40.714705977279)))",,1084852,254031,"372,30859375",1001640003,285.187,1.915,2.1,Photogrammetric,18.0,"69,61904977",2017 Aug 22 06:03:06 PM,constructed,1001640003,"93,71387929646",POINT (-73.999434 40.714764)
"MULTIPOLYGON (((-73.998280594104 40.71203162364, -73.998367214352 40.712022310915, -73.998382834877 40.712102387262, -73.998356182734 40.712105398193, -73.998303265424 40.712111375018, -73.998280594104 40.71203162364)))",,1077463,41225,"111,42578125",1002790029,305.097,1.9,2.1,Photogrammetric,14.0,"55,01563466",2017 Aug 22 07:37:24 PM,constructed,1002790029,"42,56346725832",POINT (-73.998333 40.712066)
"MULTIPOLYGON (((-74.004818059871 40.719163722185, -74.004842406968 40.719133090315, -74.004853066012 40.719132158739, -74.004879168004 40.719129877543, -74.004889359954 40.719134566967, -74.004913622983 40.719104042246, -74.004922288092 40.719108029334, -74.004931230211 40.71909677888, -74.004979626299 40.719119046408, -74.004971361117 40.719129444955, -74.00498265737 40.71913464311, -74.004957717431 40.719166020657, -74.004974545826 40.719173763417, -74.00497437186 40.719173981348, -74.004978565451 40.719288145122, -74.004990709868 40.719618742516, -74.004991286256 40.719634417667, -74.00495133049 40.719653381431, -74.004591602618 40.719487861006, -74.004586048037 40.719468926205, -74.004583196165 40.719459205314, -74.004603001362 40.719434288313, -74.004818059871 40.719163722185)))",,1088221,935647,"2.218,6640625",1001910001,884.903,1.999,2.1,Photogrammetric,13.0,"106,24",2017 Aug 22 05:28:13 PM,constructed,1001910001,"210,8821534194",POINT (-74.004837 40.719392)
"MULTIPOLYGON (((-73.992829326121 40.717739518002, -73.992916254768 40.717566854156, -73.993020315738 40.71759718429, -73.993011120167 40.717615449681, -73.993037540481 40.717623150643, -73.992959807688 40.717777548293, -73.992829326121 40.717739518002)))",,1003958,170487,"413,359375",1003060016,993.734,1.9,2.1,Photogrammetric,38.0,"85,06",2017 Aug 22 06:40:59 PM,constructed,1003060016,"85,41030556491",POINT (-73.992936 40.717674)
"MULTIPOLYGON (((-73.990028661404 40.717341597432, -73.989995554947 40.717331808716, -73.98998966518 40.717343341939, -73.989961347056 40.717334968331, -73.989947180789 40.717339336371, -73.98987320079 40.717317462799, -73.98990986304 40.717245676441, -73.989980991991 40.717266706864, -73.989988574338 40.717277841432, -73.990018585988 40.717286714963, -73.990011869887 40.717299866333, -73.990044738452 40.717309584784, -73.990051455732 40.717296433412, -73.990078859026 40.717304535866, -73.99008057151 40.7173050421, -73.990097865728 40.717301263247, -73.990158163653 40.717319092215, -73.990165284609 40.717321202719, -73.990164727008 40.717322294089, -73.990151522156 40.71734814751, -73.990134862765 40.717380767067, -73.990128623776 40.717392983754, -73.990107478648 40.717386732399, -73.990056588103 40.717371685893, -73.99005456477 40.717360436545, -73.990023699797 40.717351310806, -73.990028661404 40.717341597432)))",,1081942,735942,"299,2734375",1004080021,937.771,1.935,2.1,Photogrammetric,39.0,"55,69",2017 Aug 22 05:52:50 PM,constructed,1004080021,"93,33613421225",POINT (-73.990019 40.717319)
