row_id;bin;borough;neighborhood;zipcode;map_pluto_bbl;bldgclass;bldgclass_group;landuse;landuse_label;centroid_lon;centroid_lat;numfloors;height_roof;construction_year;ground_elevation;shape_area;distance_to_sidewalk_m;delivery_point_source;amr_accessibility_probability_estimated;amr_index_estimated
92;1026475;Manhattan;Hell's Kitchen;Unknown;1010550064;C7;C;4;Mixed residential/commercial;-73.99360998;40.76177994;5;56.4;1910;33;169.015625;0.506411833;addresspoint;0.62743708;62.74370798
93;1055112;Manhattan;Harlem (South);Unknown;1018280023;C5;C;2;Multi-family walk-up;-73.95519483;40.80120163;3;49.43;1900;34;152.5039063;5.597198456;addresspoint;0.173322139;17.33221393
94;1042388;Manhattan;Upper East Side-Carnegie Hill;Unknown;1013990064;B3;B;1;One & two family;-73.96631165;40.7660947;4;60.93;1910;52;306.65625;17.03303476;centroid_fallback;0.157032671;15.70326708
95;1049864;Manhattan;Upper East Side-Yorkville;Unknown;1015440047;C4;C;2;Multi-family walk-up;-73.95314642;40.77489678;5;68.57926216;1920;53;262.8398438;10.28411412;centroid_fallback;0.180972596;18.09725955
96;1021905;Manhattan;Murray Hill-Kips Bay;Unknown;1009400038;Z4;Z;8;Public facilities;-73.97365317;40.74448284;5;63.64;1930;13;;1.35049715;addresspoint;0.566689303;56.6689303
97;1047560;Manhattan;Upper East Side-Carnegie Hill;Unknown;1015100017;C7;C;4;Mixed residential/commercial;-73.9579468;40.77659445;4;51.87749294;1910;81;441.9648438;2.331717315;addresspoint;0.595783244;59.5783244
98;1041888;Manhattan;Upper East Side-Carnegie Hill;Unknown;1013930061;A4;A;1;One & two family;-73.96284854;40.77634991;4;70.23;1903;73;386.875;4.618951816;addresspoint;0.128326547;12.83265467
99;1018181;Manhattan;Gramercy;Unknown;1008830048;S3;S;4;Mixed residential/commercial;-73.98140338;40.74183933;4;54.87;1910;40;479.0039063;2.972495383;addresspoint;0.71262512;71.26251202
100;1086569;Manhattan;East Harlem (North);Unknown;1017690003;O5;O;5;Commercial & office;-73.94071258;40.80212707;3;51.74997311;2003;24;;2.088642651;addresspoint;0.902327748;90.23277479
101;1007132;Manhattan;SoHo-Little Italy-Hudson Square;Unknown;1004780013;C7;C;4;Mixed residential/commercial;-73.99465757;40.72076882;6;67.31;1908;39;297.5898438;0.96214703;addresspoint;0.648856669;64.8856669
102;1090987;Manhattan;The Battery-Governors Island-Ellis Island-Liberty Island;Unknown;1000010010;Y4;Y;8;Public facilities;-74.01392752;40.68805654;3.5;54.48580653;1900;12;371.328125;8.798019583;addresspoint;0.452500039;45.25000387
103;1064122;Manhattan;Washington Heights (North);Unknown;1021710008;D7;D;4;Mixed residential/commercial;-73.93016294;40.85932046;6;65.97;1941;29;;1.646086559;addresspoint;0.798917947;79.89179474
104;1034046;Manhattan;Upper West Side (Central);Unknown;1012500088;C5;C;2;Multi-family walk-up;-73.9769315;40.79123874;3;55.64624559;1890;78;212.8671875;4.706171228;addresspoint;0.14430245;14.43024504
105;1007926;Manhattan;SoHo-Little Italy-Hudson Square;Unknown;1005090033;C7;C;4;Mixed residential/commercial;-73.99466175;40.72405227;5;57.86;1910;42;166.5898438;1.292838143;addresspoint;0.613000013;61.30000126
106;1055205;Manhattan;Harlem (South);Unknown;1018300029;D1;D;3;Multi-family elevator;-73.95372191;40.80227255;6;69.42;1920;31;;3.367626838;addresspoint;0.467551916;46.75519159
107;1001238;Manhattan;Tribeca-Civic Center;Unknown;1000880011;M1;M;8;Public facilities;-74.00957327;40.71237721;2;58.47;1840;27;;1.324980222;addresspoint;0.215341719;21.53417189
108;1058511;Manhattan;Harlem (South);Unknown;1019270027;C0;C;2;Multi-family walk-up;-73.95069861;40.8068322;3;48.01;1910;23;153.2695313;5.38872149;addresspoint;0.170216146;17.0216146
109;1063863;Manhattan;Washington Heights (North);Unknown;1021610001;D7;D;4;Mixed residential/commercial;-73.92914774;40.85498257;6;69.23;1915;223;;1.437176888;addresspoint;0.599750314;59.97503142
110;1058165;Manhattan;Harlem (North);Unknown;1019170032;S3;S;4;Mixed residential/commercial;-73.94236467;40.81262139;4;44.75;1910;23;133.8828125;8.201801646;centroid_fallback;0.664486543;66.44865427
111;1059215;Manhattan;Harlem (South);Unknown;1019480057;C0;C;2;Multi-family walk-up;-73.95478651;40.80897117;3;49.2;1899;28;155.7226563;3.660419863;addresspoint;0.161209786;16.12097855
112;1045232;Manhattan;Upper East Side-Lenox Hill-Roosevelt Island;Unknown;1014520134;C4;C;2;Multi-family walk-up;-73.95408364;40.77184882;4;51.99364401;1910;37;206.953125;1.039776934;addresspoint;0.199970586;19.99705858
113;1059170;Manhattan;Harlem (South);Unknown;1019470154;B3;B;1;One & two family;-73.95506265;40.80826307;3;49.31;1899;28;150.2421875;4.481623088;addresspoint;0.174594332;17.45943316
114;1017826;Manhattan;Gramercy;Unknown;1008720052;C7;C;4;Mixed residential/commercial;-73.98675118;40.73539628;6;64.5;1910;34;267.9453125;0.80336413;addresspoint;0.655877248;65.5877248
115;1047401;Manhattan;Upper East Side-Carnegie Hill;Unknown;1015060015;C2;C;2;Multi-family walk-up;-73.95528671;40.78622449;5;56.68;1894;97;230.1132813;5.768280284;addresspoint;0.117171882;11.7171882
116;1049817;Manhattan;Upper East Side-Yorkville;Unknown;1015430033;C1;C;2;Multi-family walk-up;-73.95273891;40.77390375;4;48.47750266;1920;47;241.3046875;2.155744101;addresspoint;0.148073652;14.80736517
117;1078948;Manhattan;Chinatown-Two Bridges;Unknown;1002800022;M1;M;8;Public facilities;-73.99476575;40.71319663;3;61.57;1900;34;884.0742188;14.71542139;centroid_fallback;0.334231152;33.42311518
118;1057390;Manhattan;Upper West Side (Central);Unknown;1018970019;Y7;Y;7;Transportation/utility;-73.97667032;40.79751051;;8.67595772;;8;48.41015625;4.740910306;centroid_fallback;0.762195966;76.21959661
119;1063938;Manhattan;Washington Heights (North);Unknown;1021650001;K2;K;5;Commercial & office;-73.9344865;40.84991827;4;56.64;1917;180;;2.290651616;addresspoint;0.646070409;64.60704093
120;1044087;Manhattan;Upper East Side-Lenox Hill-Roosevelt Island;Unknown;1014310038;D9;D;3;Multi-family elevator;-73.95738382;40.77237099;5;57.52642814;1910;46;373.171875;1.28545008;addresspoint;0.576991199;57.69911991
121;1033149;Manhattan;Upper West Side (Central);Unknown;1012337501;RM;R;4;Mixed residential/commercial;-73.97777429;40.78855098;12;152;1912;67;943.1992188;2.953257169;addresspoint;0.837506293;83.75062932
122;1090854;Manhattan;Washington Heights (South);Unknown;1201329999;UNKNOWN;U;Unknown;Unknown / other;-73.94822241;40.83706556;;56;2018;48;;1.951567401;addresspoint;0.750915642;75.09156418
123;1062412;Manhattan;Hamilton Heights-Sugar Hill;Unknown;1020930134;B3;B;1;One & two family;-73.94995112;40.82773426;4;41.67;1926;104;129.96875;3.982085028;addresspoint;0.177907539;17.79075394
124;1001470;Manhattan;Tribeca-Civic Center;Unknown;1001350021;S5;S;4;Mixed residential/commercial;-74.0074323;40.71448271;5;53.31;1915;32;308.3867188;11.42217181;centroid_fallback;0.698280063;69.8280063
125;1001715;Manhattan;Chinatown-Two Bridges;Unknown;1001620052;C7;C;4;Mixed residential/commercial;-73.99778874;40.71460763;4;41.47;1920;40;359.4726563;0.406335955;addresspoint;0.658752356;65.87523555
126;1058648;Manhattan;Harlem (South);Unknown;1019300053;K2;K;5;Commercial & office;-73.95038632;40.80931868;2;63.83547361;1910;26;;1.191041864;addresspoint;0.721077341;72.10773412
127;1055873;Manhattan;Harlem (South);Unknown;1018497501;R1;R;2;Multi-family walk-up;-73.95743479;40.80453858;3;39;1910;34;128.5898438;4.259724128;addresspoint;0.173687763;17.36877626
128;1001703;Manhattan;Chinatown-Two Bridges;Unknown;1001620033;C7;C;4;Mixed residential/commercial;-73.99799107;40.71426683;5;54.97829395;1920;37;198.6484375;0.823379313;addresspoint;0.644595268;64.45952685
129;1028691;Manhattan;Upper West Side-Lincoln Square;Unknown;1011260127;W4;W;8;Public facilities;-73.9758976;40.77731989;5;71.12;1903;85;238.6914063;15.26244634;centroid_fallback;0.438502696;43.85026956
130;1077352;Manhattan;Murray Hill-Kips Bay;Unknown;1009127502;RM;R;4;Mixed residential/commercial;-73.97897392;40.7439193;35;369;1990;28;;18.80161137;addresspoint;0.95185524;95.18552402
131;1010263;Manhattan;West Village;Unknown;1005930005;C0;C;2;Multi-family walk-up;-74.00037332;40.73352006;3;36.3;1860;18;83.90625;1.105654727;addresspoint;0.139840835;13.98408345
